symbol,phase,ml_p_up,ml_bias,ml_anomaly
AAPL,OFFCYCLE,0.5363,🟨,0
MSFT,OFFCYCLE,0.5223,🟨,0
NVDA,OFFCYCLE,0.5285,🟨,0
GOOGL,OFFCYCLE,0.5097,🟨,0
META,OFFCYCLE,0.5324,🟨,0
AMZN,OFFCYCLE,0.5077,🟨,0
TSLA,OFFCYCLE,0.4930,🟨,0
AMD,OFFCYCLE,0.4319,🟨,0
NFLX,OFFCYCLE,0.5067,🟨,0
ORCL,OFFCYCLE,0.5027,🟨,0
IBM,OFFCYCLE,0.4577,🟨,0
AVGO,OFFCYCLE,0.4611,🟨,0
QCOM,OFFCYCLE,0.5526,🟨,0
INTC,OFFCYCLE,0.7601,🟩,1
NOW,OFFCYCLE,0.5094,🟨,0
COIN,OFFCYCLE,0.5438,🟨,0
PLTR,OFFCYCLE,0.5633,🟨,0
MU,OFFCYCLE,0.4866,🟨,0
CRWD,OFFCYCLE,0.5814,🟨,0
BBAI,OFFCYCLE,0.3605,🟨,0
RGTI,OFFCYCLE,0.5608,🟨,0
INSM,OFFCYCLE,0.4247,🟨,0
OPEN,OFFCYCLE,0.4304,🟨,0
HOOD,OFFCYCLE,0.5728,🟨,0
AC,OFFCYCLE,0.5000,🟨,0
CHPT,OFFCYCLE,0.6117,🟨,0
ALGS,OFFCYCLE,0.4678,🟨,0
JPM,OFFCYCLE,0.4888,🟨,0
BAC,OFFCYCLE,0.4969,🟨,0
GS,OFFCYCLE,0.5179,🟨,0
MS,OFFCYCLE,0.5123,🟨,0
WFC,OFFCYCLE,0.5358,🟨,0
XOM,OFFCYCLE,0.4643,🟨,0
CVX,OFFCYCLE,0.4501,🟨,0
COP,OFFCYCLE,0.4642,🟨,0
SLB,OFFCYCLE,0.4782,🟨,0
CAT,OFFCYCLE,0.5838,🟨,0
BA,OFFCYCLE,0.7946,🟩,1
GE,OFFCYCLE,0.5101,🟨,0
HON,OFFCYCLE,0.5512,🟨,0
UNH,OFFCYCLE,0.5137,🟨,0
JNJ,OFFCYCLE,0.5013,🟨,0
PFE,OFFCYCLE,0.4842,🟨,0
MRK,OFFCYCLE,0.4738,🟨,0
LLY,OFFCYCLE,0.4630,🟨,0
PG,OFFCYCLE,0.4643,🟨,0
KO,OFFCYCLE,0.4410,🟨,0
PEP,OFFCYCLE,0.4799,🟨,0
MCD,OFFCYCLE,0.4687,🟨,0
NKE,OFFCYCLE,0.4766,🟨,0
COST,OFFCYCLE,0.5367,🟨,0
SPY,OFFCYCLE,0.5062,🟨,0
QQQ,OFFCYCLE,0.5261,🟨,0
DIA,OFFCYCLE,0.5137,🟨,0
IWM,OFFCYCLE,0.4939,🟨,0
VIX,OFFCYCLE,0.5000,🟨,0
NEXM,OFFCYCLE,0.3790,🟨,0
MBSX,OFFCYCLE,0.5951,🟨,0
SPIN,OFFCYCLE,0.5067,🟨,0
