ticker,type,strike,expiration,bid,ask,mid,iv,ivr,delta,volume,open_interest
AAPL,CALL,110.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,120.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,125.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,130.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,135.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,140.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,145.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,150.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,155.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,160.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,165.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,170.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,175.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,180.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,185.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,190.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,195.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,200.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,205.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,210.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,215.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,220.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,225.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
