Underlying,Type,Strike,Expiration,DTE,UnderlyingPx,Bid,Ask,Mid,IV,Delta,Volume,OpenInterest,SpreadPct,Score
NVDA,P,185.0000,2026-01-30,23,189.1100,4.7000,4.7500,4.7200,0.355580,-0.382000,1134,7291,0.0106,3.945628
AAPL,C,265.0000,2026-01-30,23,260.3300,5.2000,5.2500,5.2300,0.276200,0.416000,3714,1351,0.0096,3.911274
AAPL,C,265.0000,2026-01-23,16,260.3300,2.7600,2.8200,2.7900,0.215640,0.359000,2173,1987,0.0215,3.891652
NVDA,C,195.0000,2026-01-30,23,189.1100,4.3000,4.3500,4.3200,0.354480,0.386000,3574,13195,0.0116,3.887001
MSFT,C,490.0000,2026-01-23,16,483.4700,5.4500,5.5500,5.5000,0.203310,0.390000,1191,1147,0.0182,3.876623
NVDA,C,195.0000,2026-01-23,16,189.1100,2.9000,2.9400,2.9200,0.331460,0.346000,2779,14502,0.0137,3.871660
AAPL,P,255.0000,2026-01-30,23,260.3300,4.5000,4.6500,4.5800,0.271230,-0.364000,380,1472,0.0328,3.871625
META,C,660.0000,2026-01-23,16,648.6900,9.0500,9.2000,9.1300,0.255810,0.387000,832,2890,0.0164,3.870535
GOOGL,C,330.0000,2026-01-23,16,321.9800,4.1000,4.2000,4.1500,0.271520,0.349000,1587,1925,0.0241,3.858081
GOOGL,P,315.0000,2026-01-23,16,321.9800,4.1500,4.2500,4.2000,0.273910,-0.335000,462,1175,0.0238,3.851608
NVDA,P,190.0000,2026-01-30,23,189.1100,6.8500,6.9000,6.8800,0.365620,-0.499000,2125,9722,0.0073,3.846156
AAPL,P,260.0000,2026-01-30,23,260.3300,6.5000,6.6500,6.5800,0.262410,-0.476000,653,1971,0.0228,3.828239
GOOGL,P,317.5000,2026-01-23,16,321.9800,5.0000,5.1500,5.0800,0.270820,-0.386000,1992,1179,0.0295,3.826984
MSFT,P,475.0000,2026-01-23,16,483.4700,4.4000,4.5500,4.4700,0.203280,-0.326000,435,1463,0.0336,3.810187
GOOGL,C,325.0000,2026-01-23,16,321.9800,6.1000,6.2000,6.1500,0.275610,0.454000,1390,1131,0.0163,3.796768
META,P,640.0000,2026-01-16,9,648.6900,6.4500,6.6000,6.5300,0.258180,-0.359000,1397,9204,0.0230,3.767330
MSFT,C,485.0000,2026-01-23,16,483.4700,7.7500,7.9000,7.8300,0.208850,0.486000,687,1095,0.0192,3.759080
META,C,660.0000,2026-01-16,9,648.6900,6.0500,6.2000,6.1300,0.264180,0.348000,3755,4818,0.0245,3.751941
MSFT,P,470.0000,2026-01-30,23,483.4700,7.9500,8.4000,8.1800,0.293880,-0.334000,355,2216,0.0550,3.729207
META,P,645.0000,2026-01-16,9,648.6900,8.3500,8.6000,8.4800,0.255530,-0.432000,860,2676,0.0295,3.649477
