symbol,price,prev_close,open,high,low,ts_ms,source,error,category
AAPL,259.04,260.33,257.02,259.29,255.7,1767906000000,finnhub,,CORE
MSFT,478.11,483.47,481.24,482.66,475.86,1767906000000,finnhub,,CORE
NVDA,185.04,189.11,189.11,189.55,183.71,1767906000000,finnhub,,CORE
GOOGL,325.44,321.98,328.965,330.3196,321.5,1767906000000,finnhub,,CORE
META,646.06,648.69,645.88,647.102,635.72,1767906000000,finnhub,,CORE
AMZN,246.29,241.56,243.06,246.41,241.88,1767906000000,finnhub,,CORE
TSLA,435.8,431.41,427.89,436.89,424.365,1767906000000,finnhub,,CORE
AMD,204.68,210.02,210.9,210.94,203.33,1767906000000,finnhub,,CORE
NFLX,90.53,90.73,90.45,91.25,89.58,1767906000000,finnhub,,CORE
ORCL,189.65,192.84,190.88,190.95,186.15,1767906000000,finnhub,,CORE
IBM,302.72,296.73,295.0,303.67,295.0,1767906000000,finnhub,,CORE
AVGO,332.48,343.5,342.78,343.68,330.5,1767906000000,finnhub,,CORE
QCOM,181.87,180.19,178.8,184.31,176.2,1767906000000,finnhub,,CORE
INTC,41.11,42.63,42.62,43.34,40.68,1767906000000,finnhub,,CORE
NOW,146.19,150.9,149.94,150.3,146.18,1767906000000,finnhub,,CORE
COIN,245.59,245.93,244.615,250.38,242.25,1767906000000,finnhub,,CORE
PLTR,176.86,181.68,185.615,185.66,174.37,1767906000000,finnhub,,CORE
MU,327.02,339.55,342.9,343.66,321.36,1767906000000,finnhub,,CORE
CRWD,463.87,478.91,478.2,479.99,460.6301,1767906000000,finnhub,,CORE
BBAI,6.17,5.99,5.95,6.28,5.9,1767906000000,finnhub,,CORE
RGTI,25.25,25.21,24.8,26.38,24.51,1767906000000,finnhub,,CORE
INSM,170.27,176.0,174.17,175.0,168.01,1767906000000,finnhub,,CORE
OPEN,6.43,6.12,6.265,6.72,6.1701,1767906000000,finnhub,,CORE
HOOD,115.39,116.97,115.75,117.32,113.87,1767906000000,finnhub,,CORE
SLV,69.71,70.96,67.24,69.77,66.92,1767906000000,finnhub,,CORE
AG,17.9,17.94,17.07,17.99,17.02,1767906000000,finnhub,,CORE
CHPT,7.03,7.0,6.94,7.223,6.92,1767906000000,finnhub,,CORE
ALGS,10.33,9.65,9.65,10.49,9.61,1767906000000,finnhub,,CORE
JPM,329.79,326.99,326.39,331.4,325.65,1767906000000,finnhub,,CORE
BAC,56.18,55.64,55.475,56.58,55.47,1767906000000,finnhub,,CORE
GS,934.83,941.02,935.475,945.19,932.0,1767906000000,finnhub,,CORE
MS,184.68,184.79,183.91,186.14,183.66,1767906000000,finnhub,,CORE
WFC,95.6,94.29,94.26,96.155,94.19,1767906000000,finnhub,,CORE
XOM,122.91,118.49,118.98,123.625,118.655,1767906000000,finnhub,,CORE
CVX,159.25,155.2,155.5,160.44,155.21,1767906000000,finnhub,,CORE
COP,98.72,93.94,94.4,99.86,94.33,1767906000000,finnhub,,CORE
SLB,44.43,42.37,42.86,44.57,42.66,1767906000000,finnhub,,CORE
CAT,608.13,596.52,596.52,609.5799,594.1745,1767906000000,finnhub,,CORE
BA,227.38,228.12,231.79,233.11,225.1,1767906000000,finnhub,,CORE
GE,314.44,323.64,330.15,330.15,310.2742,1767906000000,finnhub,,CORE
HON,205.24,199.51,198.94,205.49,198.55,1767906000000,finnhub,,CORE
UNH,346.85,341.7,341.01,347.9,340.8,1767906000000,finnhub,,CORE
JNJ,205.75,207.49,206.93,208.98,204.97,1767906000000,finnhub,,CORE
PFE,25.29,25.28,25.18,25.56,25.12,1767906000000,finnhub,,CORE
MRK,110.99,108.6,110.61,112.9,109.25,1767906000000,finnhub,,CORE
LLY,1085.19,1108.09,1113.69,1133.95,1070.15,1767906000000,finnhub,,CORE
PG,141.53,138.04,137.89,141.78,137.82,1767906000000,finnhub,,CORE
KO,69.37,67.54,67.54,69.455,67.45,1767906000000,finnhub,,CORE
PEP,139.37,137.01,136.57,139.48,136.01,1767906000000,finnhub,,CORE
MCD,308.88,304.16,303.44,309.0,302.63,1767906000000,finnhub,,CORE
NKE,65.26,63.22,62.175,65.735,61.7,1767906000000,finnhub,,CORE
COST,915.31,882.58,901.13,931.67,896.0,1767906000000,finnhub,,CORE
SPY,689.51,689.58,688.82,690.615,687.49,1767906000000,finnhub,,CORE
QQQ,620.47,624.02,623.03,623.42,617.8,1767906000000,finnhub,,CORE
DIA,492.53,489.96,487.81,493.52,487.81,1767906000000,finnhub,,CORE
IWM,258.27,255.48,254.7,258.93,254.36,1767906000000,finnhub,,CORE
VIX,,,,,,,,no_price,CORE
SHOP,168.28,166.74,167.8,168.415,163.6327,1767906000000,finnhub,,ADDON_RANDOM
ADBE,339.04,338.1,337.38,343.95,334.675,1767906000000,finnhub,,ADDON_RANDOM
PYPL,,,,,,,,http 429,ADDON_RANDOM
