Ticker,Flag,Score14d,Score30d,ScoreBlend,Buyers14d,TotalBuy$14d,C_Suite14d,LastBuyAgeDays,Notes,DataQuality
MPW,NONE,0.0,0.0,0.0,0,0,N,—,,OK
NAMS,NONE,0.0,0.0,0.0,0,0,N,—,,OK
HAL,NONE,0.0,0.0,0.0,0,0,N,—,,OK
ZNTL,HIGH-CONVICTION,72.3,72.3,72.3,1,7751968,N,3,,OK
RNA,NONE,0.0,0.0,0.0,0,0,N,—,,OK
ANAB,NONE,0.0,0.0,0.0,0,0,N,—,,OK
XENE,NONE,0.0,0.0,0.0,0,0,N,—,,OK
EQ,NONE,0.0,0.0,0.0,0,0,N,—,,OK
NAVN,CLUSTER,100.0,100.0,100.0,4,67112121,N,2,,OK
SERV,NONE,0.0,0.0,0.0,0,0,N,—,,OK
ARLO,NONE,0.0,0.0,0.0,0,0,N,—,,OK
MARA,NONE,0.0,0.0,0.0,0,0,N,—,,OK
RVLV,NONE,0.0,0.0,0.0,0,0,N,—,,OK
WRBY,NONE,0.0,0.0,0.0,0,0,N,—,,OK
KTOS,NONE,0.0,0.0,0.0,0,0,N,—,,OK
WDAY,NONE,0.0,0.0,0.0,0,0,N,—,,OK
