Rank,Ticker,Ct7,Ct14,Ct30,Ct60,Ct90,MostRecent(ET),CIK,Status
1,PGR,19,19,19,19,19,2026-01-12 11:33,0000080661,OK
2,HOUS,19,19,19,19,19,2026-01-09 16:10,0001398987,OK
3,STAG,16,16,16,16,16,2026-01-12 17:09,0001479094,OK
4,ADT,14,14,14,14,14,2026-01-12 17:12,0001703056,OK
5,TXRH,14,14,14,14,14,2026-01-09 20:00,0001289460,OK
6,KRC,14,14,14,14,14,2026-01-09 17:19,0001025996,OK
7,VSNT,13,13,13,13,13,2026-01-12 18:18,0002067876,OK
8,UMH,13,13,13,13,13,2026-01-12 13:01,0000752642,OK
9,MPW,13,13,13,13,13,2026-01-09 18:00,0001287865,OK
10,JILL,12,12,12,12,12,2026-01-09 17:02,0001687932,OK
11,CBT,11,11,11,11,11,2026-01-12 17:00,0000016040,OK
12,TWO,11,11,11,11,11,2026-01-12 16:18,0001465740,OK
13,HAL,10,10,10,10,10,2026-01-12 15:37,0000045012,OK
14,PRAX,9,9,9,9,9,2026-01-12 17:51,0001689548,OK
15,STLD,9,9,9,9,9,2026-01-12 16:31,0001022671,OK
16,COMM,9,9,9,9,9,2026-01-12 16:25,0001517228,OK
17,AMC,9,9,9,9,9,2026-01-12 11:00,0001411579,OK
18,GBX,9,9,9,9,9,2026-01-09 17:31,0000923120,OK
19,AM,8,8,8,8,8,2026-01-12 18:04,0001623925,OK
20,SWX,8,8,8,8,8,2026-01-12 17:51,0001692115,OK
21,LEG,8,8,8,8,8,2026-01-12 17:18,0000058492,OK
22,ABM,8,8,8,8,8,2026-01-12 16:39,0000771497,OK
23,BIVI,8,8,8,8,8,2026-01-09 17:03,0001580149,OK
24,CERO,8,8,8,8,8,2026-01-09 16:30,0001870404,OK
25,BTAI,7,7,7,7,7,2026-01-12 19:09,0001720893,OK
