Ticker,Action,Horizon,Confidence,Score,Rank,FinalSizePct,Reason
NVDA,IGNORE,—,LOW,3.9194,1.0,0.0,NO_EDGE
MSFT,IGNORE,—,LOW,3.8949,0.947,0.0,NO_EDGE
MSFT,IGNORE,—,LOW,3.8782,0.895,0.0,NO_EDGE
AAPL,IGNORE,—,LOW,3.864,0.842,0.0,NO_EDGE
NVDA,IGNORE,—,LOW,3.8613,0.789,0.0,NO_EDGE
MSFT,IGNORE,—,LOW,3.8302,0.737,0.0,NO_EDGE
AAPL,IGNORE,—,LOW,3.8179,0.684,0.0,NO_EDGE
MSFT,IGNORE,—,LOW,3.8133,0.632,0.0,NO_EDGE
NVDA,IGNORE,—,LOW,3.8036,0.579,0.0,NO_EDGE
META,IGNORE,—,LOW,3.8015,0.526,0.0,NO_EDGE
GOOGL,IGNORE,—,LOW,3.7999,0.474,0.0,NO_EDGE
META,IGNORE,—,LOW,3.7998,0.421,0.0,NO_EDGE
NVDA,IGNORE,—,LOW,3.797,0.368,0.0,NO_EDGE
AAPL,IGNORE,—,LOW,3.7878,0.316,0.0,NO_EDGE
GOOGL,IGNORE,—,LOW,3.7869,0.263,0.0,NO_EDGE
AAPL,IGNORE,—,LOW,3.7766,0.211,0.0,NO_EDGE
META,IGNORE,—,LOW,3.7465,0.158,0.0,NO_EDGE
META,IGNORE,—,LOW,3.6824,0.105,0.0,NO_EDGE
GOOGL,IGNORE,—,LOW,3.615,0.053,0.0,NO_EDGE
GOOGL,IGNORE,—,LOW,3.602,0.0,0.0,NO_EDGE
