Ticker,FilingDate,TxnDate,Insider,Title,Role,Code,AcqDisp,Shares,Price,Value,Is10b5,AgeDays,Notes,SourceURL
MOVE,2026-01-14,2026-01-12,Leabman Michael Aaron,Chief Technology Officer,OTHER,S,D,3377,7.01,23673,N,0,,https://www.sec.gov/Archives/edgar/data/1734750/000119312526013106/ownership.xml
MOVE,2026-01-14,2026-01-13,Leabman Michael Aaron,Chief Technology Officer,OTHER,S,D,2076,6.94,14407,N,0,,https://www.sec.gov/Archives/edgar/data/1734750/000119312526013106/ownership.xml
MOVE,2026-01-14,2026-01-14,Leabman Michael Aaron,Chief Technology Officer,OTHER,S,D,6845,6.66,45588,N,0,,https://www.sec.gov/Archives/edgar/data/1734750/000119312526013106/ownership.xml
ZYME,2026-01-13,2026-01-12,Hollywood Mark,EVP & Chief Operating Officer,COO,S,D,6120,22.67,138762,N,1,,https://www.sec.gov/Archives/edgar/data/1937653/000119312526011885/ownership.xml
SWX,2026-01-13,2026-01-09,Brown Justin L,President/Southwest Gas Corp.,PRESIDENT,S,D,3028,81.08,245510,Y,1,10b5-1 suspected,https://www.sec.gov/Archives/edgar/data/1692115/000174009726000002/wk-form4_1768358535.xml
LQDA,2026-01-13,2026-01-12,Krepp Sarah,Chief Human Resource Officer,OFFICER,S,D,13165,37.43,492766,Y,1,10b5-1 suspected,https://www.sec.gov/Archives/edgar/data/1819576/000110465926003379/tm263060-8_4seq1.xml
LQDA,2026-01-13,2026-01-12,Moomaw Scott,Chief Commercial Officer,OFFICER,S,D,20533,37.43,768550,Y,1,10b5-1 suspected,https://www.sec.gov/Archives/edgar/data/1819576/000110465926003377/tm263060-7_4seq1.xml
LQDA,2026-01-13,2026-01-12,Kaseta Michael,CFO and COO,OFFICER,S,D,36932,37.43,1382365,Y,1,10b5-1 suspected,https://www.sec.gov/Archives/edgar/data/1819576/000110465926003374/tm263060-6_4seq1.xml
LQDA,2026-01-13,2026-01-12,Adair Jason,Chief Business Officer,OFFICER,S,D,13548,37.43,507102,Y,1,10b5-1 suspected,https://www.sec.gov/Archives/edgar/data/1819576/000110465926003371/tm263060-5_4seq1.xml
LQDA,2026-01-13,2026-01-12,Schundler Russell,General Counsel,OFFICER,S,D,27289,37.43,1021427,Y,1,10b5-1 suspected,https://www.sec.gov/Archives/edgar/data/1819576/000110465926003369/tm263060-4_4seq1.xml
LQDA,2026-01-13,2026-01-12,JEFFS ROGER,Chief Executive Officer,CEO,S,D,66610,37.43,2493212,Y,1,10b5-1 suspected,https://www.sec.gov/Archives/edgar/data/1819576/000110465926003367/tm263060-3_4seq1.xml
LQDA,2026-01-13,2026-01-12,Boyle Dana,Chief Accounting Officer,OFFICER,S,D,11047,37.43,413489,Y,1,10b5-1 suspected,https://www.sec.gov/Archives/edgar/data/1819576/000110465926003365/tm263060-2_4seq1.xml
LQDA,2026-01-13,2026-01-12,Saggar Rajeev,Chief Medical Officer,OFFICER,S,D,21142,37.43,791345,Y,1,10b5-1 suspected,https://www.sec.gov/Archives/edgar/data/1819576/000110465926003361/tm263060-1_4seq1.xml
ZYME,2026-01-12,2026-01-12,Smith Jeffrey T L,EVP & Chief Medical Officer,OTHER,S,D,9310,22.67,211090,N,2,,https://www.sec.gov/Archives/edgar/data/1937653/000119312526010865/ownership.xml
