Ticker,SurgePct,RefType,RefPrice,Price,Volume,DollarVolume,SpreadPct,OptionsEligible,Timestamp,Age,Reason,symbol,price,prev_close,open,high,low,ts_ms,source,error,category
VIX,,,,,,,,,,,missing price/change,VIX,,,,,,,,no_price,CORE
SQ,,,,,,,,,,,missing price/change,SQ,,,,,,,,no_price,ADDON_RANDOM
LRCX,,,,,,,,,,,missing price/change,LRCX,,,,,,,,http 429,ADDON_RANDOM
GM,,,,,,,,,,,missing price/change,GM,,,,,,,,http 429,ADDON_RANDOM
AFRM,,,,,,,,,,,missing price/change,AFRM,,,,,,,,http 429,ADDON_RANDOM
SMH,,,,,,,,,,,missing price/change,SMH,,,,,,,,http 429,ADDON_RANDOM
OXY,,,,,,,,,,,missing price/change,OXY,,,,,,,,http 429,ADDON_RANDOM
RGTI,8.25,low,23.76,25.72,,,,N,2026-01-14T23:03:21Z,18s,below_threshold(9.0%);low_volume(<100000),RGTI,25.72,24.47,24.194,25.73,23.76,1768424400000,finnhub,,CORE
SLV,7.58,pc,78.6,84.56,,,,N,2026-01-14T23:03:21Z,18s,below_threshold(9.0%);low_volume(<100000),SLV,84.56,78.6,83.34,84.78,81.28,1768424400000,finnhub,,CORE
BBAI,6.83,low,5.86,6.26,,,,N,2026-01-14T23:03:21Z,18s,below_threshold(9.0%);low_volume(<100000),BBAI,6.26,6.09,6.07,6.33,5.86,1768424400000,finnhub,,CORE
CHPT,4.24,low,6.84,7.13,,,,N,2026-01-14T23:03:21Z,18s,below_threshold(9.0%);low_volume(<100000),CHPT,7.13,6.93,6.94,7.19,6.84,1768424400000,finnhub,,CORE
OPEN,4.08,low,6.38,6.64,,,,N,2026-01-14T23:03:21Z,18s,below_threshold(9.0%);low_volume(<100000),OPEN,6.64,6.77,6.71,6.745,6.38,1768424400000,finnhub,,CORE
COP,4.02,pc,96.46,100.34,,,,N,2026-01-14T23:03:21Z,18s,below_threshold(9.0%);low_volume(<100000),COP,100.34,96.46,96.6,101.915,96.6,1768424400000,finnhub,,CORE
AMD,3.95,low,215.11,223.6,,,,N,2026-01-14T23:03:21Z,18s,price_out_of_range(1.0-200.0);below_threshold(9.0%);low_volume(<100000),AMD,223.6,220.97,217.54,224.09,215.11,1768424400000,finnhub,,CORE
INTC,3.02,pc,47.29,48.72,,,,N,2026-01-14T23:03:21Z,18s,below_threshold(9.0%);low_volume(<100000),INTC,48.72,47.29,48.95,49.0,47.42,1768424400000,finnhub,,CORE
XOM,2.89,pc,126.54,130.2,,,,N,2026-01-14T23:03:21Z,18s,below_threshold(9.0%);low_volume(<100000),XOM,130.2,126.54,127.35,131.721,127.13,1768424400000,finnhub,,CORE
ALGS,2.84,low,8.8,9.05,,,,N,2026-01-14T23:03:21Z,18s,below_threshold(9.0%);low_volume(<100000),ALGS,9.05,9.24,9.23,9.34,8.8,1768424400000,finnhub,,CORE
MRK,2.83,low,107.95,111.01,,,,N,2026-01-14T23:03:21Z,18s,below_threshold(9.0%);low_volume(<100000),MRK,111.01,108.26,108.97,111.225,107.95,1768424400000,finnhub,,CORE
HOOD,2.62,low,116.61,119.67,,,,N,2026-01-14T23:03:21Z,18s,below_threshold(9.0%);low_volume(<100000),HOOD,119.67,120.24,120.29,120.88,116.61,1768424400000,finnhub,,CORE
PLTR,2.56,low,173.95,178.4,,,,N,2026-01-14T23:03:21Z,18s,below_threshold(9.0%);low_volume(<100000),PLTR,178.4,178.96,178.125,181.5975,173.95,1768424400000,finnhub,,CORE
AG,2.53,low,19.34,19.83,,,,N,2026-01-14T23:03:21Z,18s,below_threshold(9.0%);low_volume(<100000),AG,19.83,19.85,20.465,20.55,19.34,1768424400000,finnhub,,CORE
CAT,2.52,low,623.07,638.75,,,,N,2026-01-14T23:03:21Z,18s,price_out_of_range(1.0-200.0);below_threshold(9.0%);low_volume(<100000),CAT,638.75,636.53,634.1,639.73,623.07,1768424400000,finnhub,,CORE
IBM,2.5,low,301.5,309.03,,,,N,2026-01-14T23:03:21Z,18s,price_out_of_range(1.0-200.0);below_threshold(9.0%);low_volume(<100000),IBM,309.03,303.16,303.5,309.19,301.5,1768424400000,finnhub,,CORE
SLB,2.33,pc,45.9,46.97,,,,N,2026-01-14T23:03:21Z,18s,below_threshold(9.0%);low_volume(<100000),SLB,46.97,45.9,46.44,47.725,46.276,1768424400000,finnhub,,CORE
JNJ,2.29,pc,213.65,218.55,,,,N,2026-01-14T23:03:21Z,18s,price_out_of_range(1.0-200.0);below_threshold(9.0%);low_volume(<100000),JNJ,218.55,213.65,214.73,218.86,214.145,1768424400000,finnhub,,CORE
CVX,2.06,pc,163.87,167.24,,,,N,2026-01-14T23:03:21Z,18s,below_threshold(9.0%);low_volume(<100000),CVX,167.24,163.87,164.1,169.37,164.1,1768424400000,finnhub,,CORE
