Ticker,Type,Strike,Exp,Score,Action,Size%,Confidence,RiskState
NVDA,P,180.0000,2026-02-06,3.936841,IGNORE,0.0,LOW,DEFENSIVE
NVDA,C,190.0000,2026-02-06,3.888570,IGNORE,0.0,LOW,DEFENSIVE
NVDA,P,180.0000,2026-01-30,3.886467,IGNORE,0.0,LOW,DEFENSIVE
NVDA,C,185.0000,2026-02-06,3.846228,IGNORE,0.0,LOW,DEFENSIVE
AAPL,P,255.0000,2026-01-30,3.810987,IGNORE,0.0,LOW,DEFENSIVE
MSFT,C,475.0000,2026-01-30,3.806560,IGNORE,0.0,LOW,DEFENSIVE
GOOGL,C,350.0000,2026-02-06,3.804431,IGNORE,0.0,LOW,DEFENSIVE
META,P,600.0000,2026-01-30,3.804134,IGNORE,0.0,LOW,DEFENSIVE
MSFT,P,450.0000,2026-01-30,3.802891,IGNORE,0.0,LOW,DEFENSIVE
MSFT,P,455.0000,2026-01-30,3.790294,IGNORE,0.0,LOW,DEFENSIVE
META,C,650.0000,2026-02-06,3.773886,IGNORE,0.0,LOW,DEFENSIVE
GOOGL,C,340.0000,2026-01-30,3.773468,IGNORE,0.0,LOW,DEFENSIVE
AAPL,C,265.0000,2026-02-06,3.772194,IGNORE,0.0,LOW,DEFENSIVE
META,C,630.0000,2026-01-30,3.768628,IGNORE,0.0,LOW,DEFENSIVE
AAPL,C,265.0000,2026-01-30,3.758248,IGNORE,0.0,LOW,DEFENSIVE
AAPL,P,260.0000,2026-01-30,3.753776,IGNORE,0.0,LOW,DEFENSIVE
MSFT,C,470.0000,2026-01-30,3.748055,IGNORE,0.0,LOW,DEFENSIVE
GOOGL,P,325.0000,2026-01-30,3.641618,IGNORE,0.0,LOW,DEFENSIVE
GOOGL,P,330.0000,2026-01-23,3.630893,IGNORE,0.0,LOW,DEFENSIVE
META,P,610.0000,2026-02-20,3.618845,IGNORE,0.0,LOW,DEFENSIVE
