Underlying,Type,Strike,Expiration,DTE,UnderlyingPx,Bid,Ask,Mid,IV,Delta,Volume,OpenInterest,SpreadPct,Score
NVDA,P,180.0000,2026-02-06,23,183.1400,4.9500,5.0000,4.9700,0.358390,-0.402000,3237,14848,0.0101,3.936841
NVDA,C,190.0000,2026-02-06,23,183.1400,3.8500,3.9000,3.8800,0.358250,0.363000,4216,47675,0.0129,3.888570
NVDA,P,180.0000,2026-01-30,16,183.1400,3.8000,3.8500,3.8300,0.351400,-0.388000,6987,24707,0.0131,3.886467
NVDA,C,185.0000,2026-02-06,23,183.1400,5.9500,6.0000,5.9800,0.367910,0.480000,2313,5807,0.0084,3.846228
AAPL,P,255.0000,2026-01-30,16,259.9600,4.0000,4.1500,4.0800,0.295640,-0.360000,697,2531,0.0368,3.810987
MSFT,C,475.0000,2026-01-30,16,459.3800,8.6500,8.8500,8.7500,0.391430,0.358000,1346,1273,0.0229,3.806560
GOOGL,C,350.0000,2026-02-06,23,335.8400,7.8500,8.0500,7.9500,0.400470,0.364000,4125,1705,0.0252,3.804431
META,P,600.0000,2026-01-30,16,615.5200,9.5000,9.8000,9.6500,0.322420,-0.338000,1042,3447,0.0311,3.804134
MSFT,P,450.0000,2026-01-30,16,459.3800,10.0000,10.3000,10.1500,0.380810,-0.381000,1468,4066,0.0296,3.802891
MSFT,P,455.0000,2026-01-30,16,459.3800,12.0500,12.3500,12.2000,0.377040,-0.434000,582,1345,0.0246,3.790294
META,C,650.0000,2026-02-06,23,615.5200,14.2000,14.4500,14.3300,0.441330,0.337000,526,2127,0.0174,3.773886
GOOGL,C,340.0000,2026-01-30,16,335.8400,6.5500,6.7000,6.6300,0.297970,0.441000,1966,2663,0.0226,3.773468
AAPL,C,265.0000,2026-02-06,23,259.9600,5.2500,5.4500,5.3500,0.284770,0.415000,955,3774,0.0374,3.772194
META,C,630.0000,2026-01-30,16,615.5200,11.0000,11.3000,11.1500,0.334290,0.385000,1672,959,0.0269,3.768628
AAPL,C,265.0000,2026-01-30,16,259.9600,4.3500,4.5000,4.4300,0.298700,0.398000,2756,6513,0.0339,3.758248
AAPL,P,260.0000,2026-01-30,16,259.9600,6.0500,6.2000,6.1300,0.287550,-0.483000,994,24288,0.0245,3.753776
MSFT,C,470.0000,2026-01-30,16,459.3800,10.5000,10.8000,10.6500,0.395180,0.409000,1783,1290,0.0282,3.748055
GOOGL,P,325.0000,2026-01-30,16,335.8400,3.8000,3.9500,3.8800,0.301090,-0.285000,718,1413,0.0387,3.641618
GOOGL,P,330.0000,2026-01-23,9,335.8400,3.3000,3.4500,3.3800,0.285100,-0.333000,2898,1184,0.0444,3.630893
META,P,610.0000,2026-02-20,37,615.5200,25.9500,26.2500,26.1000,0.373670,-0.444000,386,2507,0.0115,3.618845
