Rank,Ticker,Form4Ct,MostRecentUTC,CIK,Status
1,BRT,17,2026-01-13T23:21:50Z,0000014846,OK
2,CALM,13,2026-01-14T21:35:47Z,0000016160,OK
3,XRAY,13,2026-01-13T21:39:32Z,0000818479,OK
4,LKFN,11,2026-01-14T21:51:22Z,0000721994,OK
5,TRC,10,2026-01-13T22:09:10Z,0000096869,OK
6,MAIN,10,2026-01-13T21:30:46Z,0001396440,OK
7,WTW,9,2026-01-14T21:09:02Z,0001140536,OK
8,RL,9,2026-01-13T21:14:03Z,0001037038,OK
9,LSTA,9,2026-01-13T21:09:54Z,0000320017,OK
10,CMPO,8,2026-01-15T02:12:20Z,0001823144,OK
11,ETON,8,2026-01-14T23:09:09Z,0001710340,OK
12,EXP,8,2026-01-14T22:19:19Z,0000918646,OK
13,SKWD,8,2026-01-14T22:09:56Z,0001519449,OK
14,COCP,8,2026-01-13T22:03:55Z,0001412486,OK
15,LQDA,8,2026-01-13T21:36:48Z,0001819576,OK
16,JOBY,7,2026-01-14T23:30:23Z,0001819848,OK
17,VCTR,7,2026-01-14T22:52:53Z,0001570827,OK
18,TENX,7,2026-01-14T02:49:18Z,0000034956,OK
19,ZS,7,2026-01-14T00:25:19Z,0001713683,OK
20,HP,6,2026-01-15T02:17:18Z,0000046765,OK
21,BBNX,6,2026-01-15T01:30:13Z,0001674632,OK
22,BX,6,2026-01-14T21:33:19Z,0001393818,OK
23,HQY,6,2026-01-14T21:18:23Z,0001428336,OK
24,G,6,2026-01-14T02:36:19Z,0001398659,OK
25,STTK,6,2026-01-13T21:55:10Z,0001680367,OK
