Underlying,Type,Strike,Expiration,DTE,UnderlyingPx,Bid,Ask,Mid,IV,Delta,Volume,OpenInterest,SpreadPct,Score
QQQ,P,610.0000,2026-02-13,25,621.2600,7.9600,8.0300,7.9900,0.212546,-0.337902,622,1749,0.0088,3.966586
IWM,P,262.0000,2026-02-13,25,265.7600,3.6900,3.7400,3.7200,0.209103,-0.363049,529,1565,0.0134,3.962374
QQQ,P,615.0000,2026-02-13,25,621.2600,9.3900,9.4700,9.4300,0.204778,-0.389867,379,2085,0.0085,3.960554
QQQ,C,630.0000,2026-02-06,18,621.2600,6.3600,6.4200,6.3900,0.172657,0.389402,1337,1211,0.0094,3.957042
QQQ,P,610.0000,2026-02-06,18,621.2600,6.4600,6.5300,6.5000,0.216635,-0.324371,454,5692,0.0108,3.953750
QQQ,C,629.0000,2026-02-06,18,621.2600,6.8300,6.8900,6.8600,0.174307,0.406400,904,1582,0.0087,3.939039
QQQ,P,620.0000,2026-02-06,18,621.2600,9.5600,9.6300,9.6000,0.199176,-0.450752,378,3619,0.0073,3.922142
NVDA,P,185.0000,2026-02-06,18,186.2300,5.6500,5.7000,5.6800,0.395161,-0.441373,1405,10766,0.0088,3.908083
QQQ,P,620.0000,2026-02-13,25,621.2600,11.1000,11.1800,11.1400,0.197256,-0.447699,1177,13596,0.0072,3.907905
MSFT,P,455.0000,2026-02-06,18,459.8600,12.1000,12.2500,12.1800,0.370228,-0.420612,458,1293,0.0123,3.906995
META,P,615.0000,2026-02-06,18,620.2500,21.8500,22.0500,21.9500,0.461097,-0.437113,2649,2802,0.0091,3.904606
PLTR,P,170.0000,2026-02-06,18,170.9600,10.2500,10.3500,10.3000,0.728387,-0.447914,852,2431,0.0097,3.897469
QQQ,C,635.0000,2026-02-06,18,621.2600,4.3200,4.3700,4.3500,0.165230,0.304805,383,1872,0.0115,3.896769
NVDA,P,185.0000,2026-02-13,25,186.2300,6.5500,6.6000,6.5700,0.385987,-0.440379,1107,8140,0.0076,3.895511
PLTR,P,170.0000,2026-02-13,25,170.9600,11.1000,11.2000,11.1500,0.670834,-0.444581,1052,1058,0.0090,3.886735
NVDA,P,180.0000,2026-02-13,25,186.2300,4.6000,4.6500,4.6300,0.396582,-0.339905,455,15816,0.0108,3.883592
IWM,P,260.0000,2026-02-06,18,265.7600,2.4200,2.4500,2.4400,0.215083,-0.296578,1564,3400,0.0123,3.881035
QQQ,P,615.0000,2026-01-30,11,621.2600,5.8000,5.8500,5.8200,0.209427,-0.367613,2045,12985,0.0086,3.878188
QQQ,C,625.0000,2026-02-06,18,621.2600,8.8800,8.9400,8.9100,0.180868,0.472909,2495,3076,0.0067,3.866876
AMZN,P,235.0000,2026-02-06,18,239.1200,7.3000,7.4500,7.3800,0.455289,-0.402516,1253,2351,0.0203,3.866262
QQQ,C,630.0000,2026-01-30,11,621.2600,4.1000,4.1500,4.1300,0.170480,0.342252,8892,12846,0.0121,3.858265
TSLA,P,420.0000,2026-02-06,18,437.5000,10.8500,10.9500,10.9000,0.493912,-0.326534,866,1717,0.0092,3.855736
SLV,P,80.0000,2026-02-06,18,81.0200,5.5000,5.6000,5.5500,0.863120,-0.430618,2009,1467,0.0180,3.852364
MSFT,P,460.0000,2026-02-06,18,459.8600,14.4500,14.6000,14.5200,0.368960,-0.473153,422,1264,0.0103,3.848972
IWM,P,263.0000,2026-01-30,11,265.7600,2.4600,2.5000,2.4800,0.210667,-0.365068,2637,1665,0.0161,3.844823
QQQ,P,610.0000,2026-02-20,32,621.2600,9.1200,9.1900,9.1500,0.208183,-0.345071,13749,30681,0.0077,3.844207
QQQ,P,623.0000,2026-02-06,18,621.2600,10.7500,10.8300,10.7900,0.194150,-0.494464,8277,1105,0.0074,3.842755
AAPL,C,265.0000,2026-02-13,25,255.5300,3.7500,3.8000,3.7800,0.268234,0.331966,487,1422,0.0132,3.840291
MSFT,P,445.0000,2026-02-06,18,459.8600,8.2000,8.3500,8.2700,0.372564,-0.319823,406,2312,0.0181,3.839635
TSLA,P,440.0000,2026-02-06,18,437.5000,19.7500,19.9000,19.8300,0.492577,-0.489970,934,1181,0.0076,3.835171
PLTR,P,165.0000,2026-02-06,18,170.9600,7.9500,8.1000,8.0300,0.735511,-0.376756,724,2368,0.0187,3.830159
IWM,C,270.0000,2026-01-30,11,265.7600,1.9500,1.9800,1.9700,0.192233,0.339999,1687,22171,0.0152,3.829988
QQQ,P,614.0000,2026-02-20,32,621.2600,10.2600,10.3400,10.3000,0.202540,-0.382436,303,1866,0.0078,3.828684
TSLA,C,450.0000,2026-02-06,18,437.5000,14.1500,14.2500,14.2000,0.493474,0.428665,678,2534,0.0070,3.828486
AAPL,P,255.0000,2026-02-06,18,255.5300,6.3000,6.4500,6.3800,0.307482,-0.459910,518,1305,0.0235,3.828360
QQQ,C,623.0000,2026-02-06,18,621.2600,10.0000,10.0700,10.0400,0.184260,0.504934,7422,1099,0.0070,3.826929
TSLA,C,455.0000,2026-02-06,18,437.5000,12.3500,12.4500,12.4000,0.494294,0.389754,635,986,0.0081,3.824741
META,C,650.0000,2026-02-06,18,620.2500,13.5000,13.7000,13.6000,0.448938,0.346293,371,1806,0.0147,3.823234
NVDA,C,195.0000,2026-02-06,18,186.2300,2.9300,2.9400,2.9400,0.369355,0.312083,2423,7569,0.0034,3.823211
IWM,C,269.0000,2026-01-30,11,265.7600,2.3300,2.3600,2.3400,0.193501,0.382439,4545,2876,0.0128,3.821895
IWM,P,262.0000,2026-02-20,32,265.7600,4.1900,4.2400,4.2200,0.204998,-0.367937,609,3017,0.0118,3.821638
META,P,600.0000,2026-02-06,18,620.2500,15.5000,15.6500,15.5800,0.462456,-0.345105,411,1188,0.0096,3.821355
QQQ,P,615.0000,2026-02-20,32,621.2600,10.5700,10.6500,10.6100,0.201140,-0.392261,9908,18214,0.0075,3.820979
MSFT,C,470.0000,2026-02-06,18,459.8600,10.5500,10.7500,10.6500,0.357602,0.419219,897,1616,0.0188,3.820947
TSLA,C,445.0000,2026-02-06,18,437.5000,16.1500,16.2500,16.2000,0.492854,0.468894,731,1810,0.0062,3.820838
TSLA,P,420.0000,2026-02-13,25,437.5000,13.1500,13.3500,13.2500,0.479207,-0.338884,495,1007,0.0151,3.820691
MSFT,C,465.0000,2026-02-06,18,459.8600,12.7500,12.9000,12.8300,0.360372,0.472866,590,1079,0.0117,3.817368
QQQ,P,618.0000,2026-01-30,11,621.2600,6.7500,6.8100,6.7800,0.203257,-0.417048,599,1307,0.0088,3.816346
QQQ,C,627.0000,2026-01-30,11,621.2600,5.4200,5.4700,5.4500,0.176164,0.406653,1011,4450,0.0092,3.812647
AAPL,C,265.0000,2026-02-06,18,255.5300,3.1500,3.2000,3.1800,0.290316,0.310666,1622,4003,0.0157,3.811797
TSLA,C,440.0000,2026-02-06,18,437.5000,18.3500,18.4500,18.4000,0.492229,0.510006,1961,1637,0.0054,3.811046
NVDA,P,180.0000,2026-02-06,18,186.2300,3.7500,3.8500,3.8000,0.407978,-0.327049,3713,14958,0.0263,3.807073
QQQ,C,635.0000,2026-02-20,32,621.2600,7.4000,7.4500,7.4300,0.163886,0.368359,2852,18661,0.0067,3.805644
IWM,P,263.0000,2026-02-20,32,265.7600,4.5300,4.5800,4.5600,0.202966,-0.391004,1353,2189,0.0110,3.805149
QQQ,P,617.0000,2026-02-20,32,621.2600,11.2300,11.3100,11.2700,0.198513,-0.412535,354,1854,0.0071,3.804439
TSLA,P,425.0000,2026-01-30,11,437.5000,10.2000,10.3000,10.2500,0.535244,-0.353963,787,1960,0.0098,3.803520
NVDA,P,182.5000,2026-01-30,11,186.2300,3.5000,3.5500,3.5300,0.414959,-0.367758,1697,1687,0.0142,3.801424
IWM,P,264.0000,2026-02-20,32,265.7600,4.8900,4.9300,4.9100,0.200530,-0.414719,533,1989,0.0081,3.796837
NVDA,C,190.0000,2026-02-06,18,186.2300,4.7000,4.8000,4.7500,0.376393,0.433103,5481,49909,0.0211,3.795266
AMZN,P,240.0000,2026-02-06,18,239.1200,9.5500,9.7500,9.6500,0.448585,-0.484969,307,1963,0.0207,3.790742
