Rank,Ticker,Form4Ct,MostRecentUTC,CIK,Status
1,RSG,22,2026-01-21T01:12:51Z,0001060391,OK
2,C,18,2026-01-20T22:15:31Z,0000831001,OK
3,TRGP,17,2026-01-20T22:28:02Z,0001389170,OK
4,ETR,16,2026-01-21T00:06:34Z,0000065984,OK
5,CMA,16,2026-01-20T21:27:28Z,0000028412,OK
6,DENN,15,2026-01-20T22:32:54Z,0000852772,OK
7,HOMB,15,2026-01-20T20:40:40Z,0001331520,OK
8,IONS,13,2026-01-21T01:21:43Z,0000874015,OK
9,PSX,13,2026-01-20T22:13:57Z,0001534701,OK
10,COP,12,2026-01-21T00:09:06Z,0001163165,OK
11,AXS,11,2026-01-20T22:35:11Z,0001214816,OK
12,TSSI,11,2026-01-20T21:08:48Z,0001320760,OK
13,RGA,10,2026-01-21T01:22:35Z,0000898174,OK
14,TOL,10,2026-01-20T22:26:10Z,0000794170,OK
15,FCPT,10,2026-01-20T21:30:19Z,0001650132,OK
16,T,10,2026-01-20T21:26:44Z,0000732717,OK
17,PRPO,10,2026-01-20T21:25:16Z,0001043961,OK
18,STAG,10,2026-01-20T21:13:55Z,0001479094,OK
19,WAL,10,2026-01-20T21:13:43Z,0001212545,OK
20,WTW,10,2026-01-20T21:01:49Z,0001140536,OK
21,BJRI,10,2026-01-20T18:41:43Z,0001013488,OK
22,NSPR,10,2026-01-16T23:12:00Z,0001433607,OK
23,DTST,10,2026-01-16T22:35:57Z,0001419951,OK
24,FDS,9,2026-01-20T22:40:30Z,0001013237,OK
25,ES,9,2026-01-20T22:11:55Z,0000072741,OK
