Rank,🟩/🟥/🟨,Ticker,Category,Signal,Strike,Action,Exp,IVR,Premium,Δ,Θ,Breakeven,ExpRet,Stop,Target,Hedge
1,🟩,INTC,CORE,Long,—,—,—,—,—,—,—,—,—,—,—,—
2,🟩,BBAI,CORE,Long,—,—,—,—,—,—,—,—,—,—,—,—
3,🟩,CHPT,CORE,Long,—,—,—,—,—,—,—,—,—,—,—,—
4,🟩,COIN,CORE,Long,—,—,—,—,—,—,—,—,—,—,—,—
5,🟥,ALGS,CORE,Short,—,—,—,—,—,—,—,—,—,—,—,—
6,🟩,MU,CORE,Long,—,—,—,—,—,—,—,—,—,—,—,—
7,🟩,EXE,ADDON_RANDOM,Long,—,—,—,—,—,—,—,—,—,—,—,—
8,🟥,LLY,CORE,Short,—,—,—,—,—,—,—,—,—,—,—,—
9,🟩,META,CORE,Long,—,—,—,—,—,—,—,—,—,—,—,—
10,🟩,COP,CORE,Long,—,—,—,—,—,—,—,—,—,—,—,—
