symbol,price,prev_close,ts_ms,source,error,category
AAPL,286.19,283.1,1764709200000,finnhub,,CORE
MSFT,490.0,486.74,1764709200000,finnhub,,CORE
NVDA,181.46,179.92,1764709200000,finnhub,,CORE
GOOGL,315.81,314.89,1764709200000,finnhub,,CORE
META,647.1,640.87,1764709200000,finnhub,,CORE
AMZN,234.42,233.88,1764709200000,finnhub,,CORE
TSLA,429.24,430.14,1764709200000,finnhub,,CORE
AMD,215.24,219.76,1764709200000,finnhub,,CORE
NFLX,109.35,109.13,1764709200000,finnhub,,CORE
ORCL,201.1,200.94,1764709200000,finnhub,,CORE
IBM,301.78,305.67,1764709200000,finnhub,,CORE
AVGO,381.57,386.08,1764709200000,finnhub,,CORE
QCOM,170.7,168.04,1764709200000,finnhub,,CORE
INTC,43.47,40.01,1764709200000,finnhub,,CORE
NOW,824.38,822.07,1764709200000,finnhub,,CORE
COIN,263.26,259.84,1764709200000,finnhub,,CORE
PLTR,170.69,167.49,1764709200000,finnhub,,CORE
MU,239.49,240.46,1764709200000,finnhub,,CORE
CRWD,516.55,504.13,1764709200000,finnhub,,CORE
BBAI,5.79,6.05,1764709200000,finnhub,,CORE
RGTI,23.88,23.45,1764709200000,finnhub,,CORE
INSM,206.6,211.41,1764709200000,finnhub,,CORE
OPEN,6.99,7.14,1764709200000,finnhub,,CORE
HOOD,125.95,123.24,1764709200000,finnhub,,CORE
AC,,,,,no_price,CORE
CHPT,7.89,7.63,1764709200000,finnhub,,CORE
ALGS,9.21,9.3,1764709200000,finnhub,,CORE
JPM,307.88,308.92,1764709200000,finnhub,,CORE
BAC,53.19,53.24,1764709200000,finnhub,,CORE
GS,815.21,810.86,1764709200000,finnhub,,CORE
MS,169.09,168.47,1764709200000,finnhub,,CORE
WFC,86.32,85.4,1764709200000,finnhub,,CORE
XOM,115.38,116.63,1764709200000,finnhub,,CORE
CVX,150.25,152.54,1764709200000,finnhub,,CORE
COP,89.29,90.26,1764709200000,finnhub,,CORE
SLB,36.36,36.6,1764709200000,finnhub,,CORE
CAT,582.47,568.06,1764709200000,finnhub,,CORE
BA,205.38,186.46,1764709200000,finnhub,,CORE
GE,289.32,288.45,1764709200000,finnhub,,CORE
HON,193.15,190.22,1764709200000,finnhub,,CORE
UNH,324.54,323.21,1764709200000,finnhub,,CORE
JNJ,205.42,205.34,1764709200000,finnhub,,CORE
PFE,25.15,25.27,1764709200000,finnhub,,CORE
MRK,101.03,101.83,1764709200000,finnhub,,CORE
LLY,1046.12,1057.89,1764709200000,finnhub,,CORE
PG,145.86,147.44,1764709200000,finnhub,,CORE
KO,70.67,71.95,1764709200000,finnhub,,CORE
PEP,148.61,149.51,1764709200000,finnhub,,CORE
MCD,300.72,303.57,1764709200000,finnhub,,CORE
NKE,64.93,65.39,1764709200000,finnhub,,CORE
COST,922.03,911.96,1764709200000,finnhub,,CORE
SPY,681.53,680.27,1764709200000,finnhub,,CORE
QQQ,622.0,617.17,1764709200000,finnhub,,CORE
DIA,475.26,473.32,1764709200000,finnhub,,CORE
IWM,245.17,245.62,1764709200000,finnhub,,CORE
VIX,,,,,no_price,CORE
NEXM,3.64,3.78,1764709200000,finnhub,,ADDON_RANDOM
MBSX,27.07,26.31,1764709200000,finnhub,,ADDON_RANDOM
SPIN,32.2497,32.185,1764709200000,finnhub,,ADDON_RANDOM
