Rank,🟩/🟥/🟨,Ticker,Category,Signal,Strike,Action,Exp,IVR,Premium,Δ,Θ,Breakeven,ExpRet,Stop,Target,Hedge
1,🟩,SCOR,ADDON_RANDOM,Long,—,—,—,—,—,—,—,—,—,—,—,—
2,🟩,MRK,CORE,Long,—,—,—,—,—,—,—,—,—,—,—,—
3,🟩,SPCE,ADDON_RANDOM,Long,—,—,—,—,—,—,—,—,—,—,—,—
4,🟥,AMD,CORE,Short,—,—,—,—,—,—,—,—,—,—,—,—
5,🟩,META,CORE,Long,—,—,—,—,—,—,—,—,—,—,—,—
6,🟩,LLY,CORE,Long,—,—,—,—,—,—,—,—,—,—,—,—
7,🟩,DOCU,ADDON_RANDOM,Long,—,—,—,—,—,—,—,—,—,—,—,—
8,🟩,NKE,CORE,Long,—,—,—,—,—,—,—,—,—,—,—,—
9,🟩,CHPT,CORE,Long,—,—,—,—,—,—,—,—,—,—,—,—
10,🟥,NVDA,CORE,Short,—,—,—,—,—,—,—,—,—,—,—,—
