symbol,price,prev_close,ts_ms,source,error,category
AAPL,279.0,276.97,1764179543000,finnhub,,CORE
MSFT,487.3,476.99,1764179544000,finnhub,,CORE
NVDA,181.24,177.82,1764179543000,finnhub,,CORE
GOOGL,318.54,323.44,1764179544000,finnhub,,CORE
META,636.18,636.22,1764179542000,finnhub,,CORE
AMZN,230.63,229.67,1764179541000,finnhub,,CORE
TSLA,422.33,419.4,1764179544000,finnhub,,CORE
AMD,213.47,206.13,1764179543000,finnhub,,CORE
NFLX,106.39,104.4,1764179544000,finnhub,,CORE
ORCL,205.6,197.03,1764179544000,finnhub,,CORE
IBM,303.72,304.48,1764179531000,finnhub,,CORE
AVGO,396.775,385.03,1764179544000,finnhub,,CORE
QCOM,165.03,163.3,1764179544000,finnhub,,CORE
INTC,37.015,35.83,1764179544000,finnhub,,CORE
NOW,807.14,825.31,1764179537000,finnhub,,CORE
COIN,263.65,254.12,1764179544000,finnhub,,CORE
PLTR,167.2,163.55,1764179544000,finnhub,,CORE
MU,231.25,224.53,1764179540000,finnhub,,CORE
CRWD,505.21,512.34,1764179531000,finnhub,,CORE
BBAI,6.0578,6.19,1764179541000,finnhub,,CORE
RGTI,25.79,26.08,1764179544000,finnhub,,CORE
INSM,203.04,209.02,1764179531000,finnhub,,CORE
OPEN,7.6474,7.74,1764179544000,finnhub,,CORE
HOOD,126.47,115.57,1764179543000,finnhub,,CORE
AC,,,,,no_price,CORE
CHPT,7.8602,7.78,1764179372000,finnhub,,CORE
ALGS,9.98,9.66,1764179337000,finnhub,,CORE
JPM,307.65,303.0,1764179592000,finnhub,,CORE
BAC,53.08,52.48,1764179593000,finnhub,,CORE
GS,816.89,802.32,1764179590000,finnhub,,CORE
MS,168.37,165.43,1764179593000,finnhub,,CORE
WFC,86.0068,85.1,1764179574000,finnhub,,CORE
XOM,115.575,114.51,1764179591000,finnhub,,CORE
CVX,150.1734,148.53,1764179591000,finnhub,,CORE
COP,87.4,86.62,1764179586000,finnhub,,CORE
SLB,35.835,35.9,1764179589000,finnhub,,CORE
CAT,572.58,566.61,1764179568000,finnhub,,CORE
BA,187.02,182.44,1764179586000,finnhub,,CORE
GE,297.39,293.44,1764179579000,finnhub,,CORE
HON,191.05,191.02,1764179580000,finnhub,,CORE
UNH,330.76,326.28,1764179593000,finnhub,,CORE
JNJ,207.11,206.67,1764179593000,finnhub,,CORE
PFE,25.7183,25.72,1764179592000,finnhub,,CORE
MRK,105.5566,105.66,1764179594000,finnhub,,CORE
LLY,1104.3951,1109.94,1764179593000,finnhub,,CORE
PG,148.57,148.49,1764179589000,finnhub,,CORE
KO,72.845,72.61,1764179589000,finnhub,,CORE
PEP,147.99,146.11,1764179582000,finnhub,,CORE
MCD,311.466,310.45,1764179593000,finnhub,,CORE
NKE,64.625,63.68,1764179592000,finnhub,,CORE
COST,908.56,894.33,1764179593000,finnhub,,CORE
SPY,681.25,675.02,1764179594000,finnhub,,CORE
QQQ,615.45,608.89,1764179594000,finnhub,,CORE
DIA,475.49,471.18,1764179594000,finnhub,,CORE
IWM,247.16,245.13,1764179594000,finnhub,,CORE
VIX,,,,,no_price,CORE
SPKLU,11.12,10.79,1763747030000,finnhub,,ADDON_RANDOM
CPNS,27.0875,27.075,1764174714000,finnhub,,ADDON_RANDOM
NKTR,63.14,60.35,1764179490000,finnhub,,ADDON_RANDOM
PPHP,,,,,http 429,ADDON_RANDOM
