Ticker,symbol,price,prev_close,open,high,low,ts_ms,source,error,category
AAPL,AAPL,271.01,271.86,272.255,277.84,269.0,1767387600000,finnhub,,CORE
MSFT,MSFT,472.94,483.62,484.385,484.66,470.16,1767387600000,finnhub,,CORE
NVDA,NVDA,188.85,186.5,189.835,192.9299,188.26,1767387600000,finnhub,,CORE
GOOGL,GOOGL,315.15,313.0,316.9,322.5,310.33,1767387600000,finnhub,,CORE
META,META,650.41,660.09,662.725,664.39,643.5,1767387600000,finnhub,,CORE
AMZN,AMZN,226.5,230.82,231.34,235.458,224.7,1767387600000,finnhub,,CORE
TSLA,TSLA,438.07,449.72,457.8,458.34,435.3,1767387600000,finnhub,,CORE
AMD,AMD,223.47,214.16,218.9,227.15,218.895,1767387600000,finnhub,,CORE
NFLX,NFLX,90.99,93.76,94.13,94.142,90.8104,1767387600000,finnhub,,CORE
ORCL,ORCL,195.71,194.91,197.47,198.59,194.21,1767387600000,finnhub,,CORE
IBM,IBM,291.5,296.21,297.56,297.5699,289.0,1767387600000,finnhub,,CORE
AVGO,AVGO,347.62,346.1,352.775,360.66,345.56,1767387600000,finnhub,,CORE
QCOM,QCOM,172.98,171.05,173.798,174.68,172.2,1767387600000,finnhub,,CORE
INTC,INTC,39.38,36.9,37.77,39.86,37.76,1767387600000,finnhub,,CORE
NOW,NOW,147.45,153.19,153.08,153.2,145.64,1767387600000,finnhub,,CORE
COIN,COIN,236.53,226.14,230.595,238.49,225.91,1767387600000,finnhub,,CORE
PLTR,PLTR,167.86,177.75,181.3,181.35,166.35,1767387600000,finnhub,,CORE
MU,MU,315.42,285.41,295.125,315.6,294.86,1767387600000,finnhub,,CORE
CRWD,CRWD,453.58,468.76,474.0,474.0,449.455,1767387600000,finnhub,,CORE
BBAI,BBAI,5.84,5.4,5.6,5.85,5.42,1767387600000,finnhub,,CORE
RGTI,RGTI,23.6,22.15,22.56,24.005,21.62,1767387600000,finnhub,,CORE
INSM,INSM,177.12,174.04,175.79,177.9,173.55,1767387600000,finnhub,,CORE
OPEN,OPEN,6.07,5.83,5.92,6.15,5.85,1767387600000,finnhub,,CORE
HOOD,HOOD,115.21,113.1,115.478,116.03,110.41,1767387600000,finnhub,,CORE
SLV,SLV,65.75,64.42,67.3,67.36,64.745,1767387600000,finnhub,,CORE
AG,AG,16.06,16.66,17.04,17.27,15.54,1767387600000,finnhub,,CORE
CHPT,CHPT,7.04,6.64,6.74,7.15,6.71,1767387600000,finnhub,,CORE
ALGS,ALGS,9.13,9.32,9.32,9.67,9.13,1767387600000,finnhub,,CORE
JPM,JPM,325.48,322.22,322.5,325.73,320.74,1767387600000,finnhub,,CORE
BAC,BAC,55.95,55.0,55.03,55.99,54.88,1767387600000,finnhub,,CORE
GS,GS,914.34,879.0,884.0,914.44,880.75,1767387600000,finnhub,,CORE
MS,MS,181.9,177.53,178.515,181.96,177.14,1767387600000,finnhub,,CORE
WFC,WFC,95.2,93.2,93.3,95.345,92.805,1767387600000,finnhub,,CORE
XOM,XOM,122.65,120.34,120.09,122.68,119.6067,1767387600000,finnhub,,CORE
CVX,CVX,155.9,152.41,152.165,155.9,151.25,1767387600000,finnhub,,CORE
COP,COP,96.7,93.61,93.61,96.94,93.13,1767387600000,finnhub,,CORE
SLB,SLB,40.2,38.38,38.41,40.4363,38.065,1767387600000,finnhub,,CORE
CAT,CAT,598.41,572.87,577.59,599.61,575.31,1767387600000,finnhub,,CORE
BA,BA,227.77,217.12,218.15,227.77,215.24,1767387600000,finnhub,,CORE
GE,GE,320.75,308.03,309.75,320.98,308.66,1767387600000,finnhub,,CORE
HON,HON,195.88,195.09,195.69,196.583,193.35,1767387600000,finnhub,,CORE
UNH,UNH,336.4,330.11,330.895,340.2578,327.5,1767387600000,finnhub,,CORE
JNJ,JNJ,207.35,206.95,206.82,207.385,203.68,1767387600000,finnhub,,CORE
PFE,PFE,25.18,24.9,24.98,25.3,24.83,1767387600000,finnhub,,CORE
MRK,MRK,106.45,105.26,105.53,106.6248,104.43,1767387600000,finnhub,,CORE
LLY,LLY,1080.36,1074.68,1076.4,1080.66,1052.08,1767387600000,finnhub,,CORE
PG,PG,141.79,143.31,143.11,143.34,141.24,1767387600000,finnhub,,CORE
KO,KO,69.12,69.91,69.85,69.87,68.975,1767387600000,finnhub,,CORE
PEP,PEP,142.23,143.52,143.22,143.41,142.1,1767387600000,finnhub,,CORE
MCD,MCD,303.26,305.63,305.29,305.55,300.2919,1767387600000,finnhub,,CORE
NKE,NKE,63.28,63.71,64.0,64.13,62.55,1767387600000,finnhub,,CORE
COST,COST,854.5,862.34,861.14,863.1,852.5,1767387600000,finnhub,,CORE
SPY,SPY,683.17,681.92,685.71,686.87,679.82,1767387600000,finnhub,,CORE
QQQ,QQQ,613.12,614.31,620.06,622.85,610.15,1767387600000,finnhub,,CORE
DIA,DIA,483.63,480.57,481.85,483.95,478.38,1767387600000,finnhub,,CORE
IWM,IWM,248.78,246.16,247.63,249.09,245.86,1767387600000,finnhub,,CORE
VIX,VIX,,,,,,,,no_price,CORE
AXP,AXP,372.73,369.95,369.5,372.87,367.25,1767387600000,finnhub,,ADDON_RANDOM
SHOP,SHOP,157.2,160.97,162.19,164.3,155.15,1767387600000,finnhub,,ADDON_RANDOM
RTX,RTX,,,,,,,,http 429,ADDON_RANDOM
XBI,XBI,,,,,,,,http 429,ADDON_RANDOM
TSM,TSM,,,,,,,,http 429,ADDON_RANDOM
