Rank,Ticker,Ct7,Ct14,Ct30,Ct60,Ct90,MostRecent(ET),CIK,Status
1,TXRH,14,14,14,14,14,2026-01-09 20:00,0001289460,ERROR
2,MPW,13,0,13,13,13,2026-01-09 18:00,0001287865,ERROR
3,KRC,14,0,7,14,14,2026-01-09 17:19,0001025996,ERROR
4,GBX,9,0,9,9,9,2026-01-09 17:31,0000923120,ERROR
5,NAMS,7,2,7,7,7,2026-01-09 19:34,0001936258,ERROR
6,ITRI,7,0,7,7,7,2026-01-09 18:05,0000780571,ERROR
7,CIO,7,0,7,7,7,2026-01-09 17:51,0001593222,ERROR
8,HAL,7,0,6,7,7,2026-01-09 17:47,0000045012,ERROR
9,ZNTL,4,4,4,4,5,2026-01-09 20:36,0001725160,ERROR
10,HPK,7,0,0,7,7,2026-01-09 17:14,0001792849,ERROR
11,RNA,7,0,0,7,7,2026-01-09 17:13,0001599901,ERROR
12,ANAB,4,0,4,4,15,2026-01-09 19:16,0001370053,ERROR
13,NBHC,4,1,4,4,4,2026-01-09 19:42,0001475841,ERROR
14,AMC,4,0,4,4,7,2026-01-09 19:10,0001411579,ERROR
15,WYNN,3,3,3,3,3,2026-01-09 20:01,0001174922,ERROR
16,XENE,4,0,4,4,4,2026-01-09 18:54,0001582313,ERROR
17,EQ,4,0,4,4,4,2026-01-09 17:52,0001746466,ERROR
18,NAVN,4,0,4,4,4,2026-01-09 17:25,0001639723,ERROR
19,BIVI,5,0,0,5,8,2026-01-09 17:03,0001580149,ERROR
20,RVLV,3,0,3,3,4,2026-01-09 18:40,0001746618,ERROR
21,ARLO,3,0,3,3,3,2026-01-09 19:13,0001736946,ERROR
22,MARA,3,0,3,3,3,2026-01-09 19:00,0001507605,ERROR
23,ATYR,3,0,3,3,3,2026-01-09 17:46,0001339970,ERROR
24,JOB,3,0,3,3,3,2026-01-09 17:29,0000040570,ERROR
25,SERV,4,0,0,4,4,2026-01-09 17:14,0001832483,ERROR
