Ticker,Flag,Score14d,Score30d,ScoreBlend,Buyers14d,TotalBuy$14d,C_Suite14d,LastBuyAgeDays,Notes,DataQuality
RSG,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
C,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
TRGP,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
ETR,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
CMA,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
DENN,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
HOMB,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
IONS,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
PSX,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
COP,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
AXS,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
TSSI,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
RGA,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
TOL,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
FCPT,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
T,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
PRPO,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
STAG,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
WAL,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
WTW,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
BJRI,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
NSPR,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
DTST,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
FDS,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
ES,NONE,0.0,0.0,0.0,0,0,N,—,No qualifying insider purchase txns found in last 30d,LOW
