symbol,phase,ml_p_up,ml_bias,ml_anomaly
AAPL,INTRADAY,0.5156,🟨,0
MSFT,INTRADAY,0.5446,🟨,0
NVDA,INTRADAY,0.4400,🟨,0
GOOGL,INTRADAY,0.5024,🟨,0
META,INTRADAY,0.5749,🟨,0
AMZN,INTRADAY,0.5588,🟨,0
TSLA,INTRADAY,0.5280,🟨,0
AMD,INTRADAY,0.5510,🟨,0
NFLX,INTRADAY,0.5451,🟨,0
ORCL,INTRADAY,0.4512,🟨,0
IBM,INTRADAY,0.5588,🟨,0
AVGO,INTRADAY,0.5451,🟨,0
QCOM,INTRADAY,0.5593,🟨,0
INTC,INTRADAY,0.7955,🟩,1
NOW,INTRADAY,0.5402,🟨,0
COIN,INTRADAY,0.5975,🟨,0
PLTR,INTRADAY,0.5537,🟨,0
MU,INTRADAY,0.5891,🟨,0
CRWD,INTRADAY,0.5505,🟨,0
BBAI,INTRADAY,0.6701,🟩,1
RGTI,INTRADAY,0.5000,🟨,0
INSM,INTRADAY,0.5529,🟨,0
OPEN,INTRADAY,0.4658,🟨,0
HOOD,INTRADAY,0.5075,🟨,0
AC,INTRADAY,0.5000,🟨,0
CHPT,INTRADAY,0.6076,🟨,0
ALGS,INTRADAY,0.4065,🟨,0
JPM,INTRADAY,0.5587,🟨,0
BAC,INTRADAY,0.5414,🟨,0
GS,INTRADAY,0.5409,🟨,0
MS,INTRADAY,0.5341,🟨,0
WFC,INTRADAY,0.5113,🟨,0
XOM,INTRADAY,0.5334,🟨,0
CVX,INTRADAY,0.5361,🟨,0
COP,INTRADAY,0.5609,🟨,0
SLB,INTRADAY,0.5540,🟨,0
CAT,INTRADAY,0.5118,🟨,0
BA,INTRADAY,0.5370,🟨,0
GE,INTRADAY,0.5206,🟨,0
HON,INTRADAY,0.5385,🟨,0
UNH,INTRADAY,0.5006,🟨,0
JNJ,INTRADAY,0.4897,🟨,0
PFE,INTRADAY,0.5039,🟨,0
MRK,INTRADAY,0.5064,🟨,0
LLY,INTRADAY,0.4137,🟨,0
PG,INTRADAY,0.4980,🟨,0
KO,INTRADAY,0.5110,🟨,0
PEP,INTRADAY,0.5171,🟨,0
MCD,INTRADAY,0.4938,🟨,0
NKE,INTRADAY,0.5155,🟨,0
COST,INTRADAY,0.5196,🟨,0
SPY,INTRADAY,0.5182,🟨,0
QQQ,INTRADAY,0.5270,🟨,0
DIA,INTRADAY,0.5199,🟨,0
IWM,INTRADAY,0.5195,🟨,0
VIX,INTRADAY,0.5000,🟨,0
DENN,INTRADAY,0.5000,🟨,0
HOVR,INTRADAY,0.5614,🟨,0
KRMD,INTRADAY,0.5685,🟨,0
DDL,INTRADAY,0.5000,🟨,0
CATO,INTRADAY,0.5095,🟨,0
